AAFA,AFA,African American
AFA,AFA,Unspecified
AFB,AFA,African
AINDI,API,South Asian
AISC,NAM,American Indian South or Centr
ALANAM,NAM,Alaska Native or Aleut
AMIND,NAM,North American Indian
API,API,Unspecified
CARB,AFA,Black Caribbean
CARHIS,HIS,Caribbean Hispanic
CARIBI,NAM,Caribbean Indian
CAU,CAU,Unspecified
DEC,DEC,Declines or No Race Selected
EEURO,CAU,Eastern European
EURWRC,CAU,North American or European
FILII,API,Filipino
GUAMAN,HAWI,Guamanian
HAWAII,HAWI,Hawaiian
HAWI,HAWI,Unspecified
HIS,HIS,Unspecified Hispanic
JAPI,API,Japanese
KORI,API,Korean
MAFA,AFA,Multiple Black
MAPI,API,Multiple Asian/Pacific Islndr
MCAU,CAU,Multiple Caucasian
MEDIT,CAU,Mediterranean
MENAFC,CAU,MidEast/No. Coast of Africa
MHAW,HAWI,Multiple Nat. Hw/Oth Pa. Isln
MHIS,HIS,Multiple Hispanic
MIDEAS,CAU,Middle Eastern
MNAM,NAM,Multiple Native American
MSWHIS,HIS,Mexican or Chicano
MULTI,MULTI,Multiple Race
NAM,NAM,Unspecified
NAMB,AFA,North American Black
NAMER,CAU,North American
NCAFRI,CAU,North Coast of Africa
NCHI,API,Chinese
NEURO,CAU,Northern European
OPI,HAWI,Other Pacific Islander
OTH,OTH,Other
SAMOAN,HAWI,Samoan
SCAHIS,HIS,South/Cntrl Amer. Hisp.
SCAMB,AFA,Black South or Central America
SCSEAI,API,Other Southeast Asian
UNK,UNK,Unknown/Question Not Asked
VIET,API,Vietnamese
WCARIB,CAU,White Caribbean
WEURO,CAU,Western European
WSCA,CAU,White South or Central America
